dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
29,22,25,28,31,25,27,21,28,28,34,28,27,32,13,27,22,15,26,18,19,18,29,27,22,22,33,23,17,28,29,27,24,22,20,20,23,19,22,20,25,24,25,30,23,0,27,23,26,25,25,19,35,36,26,29,20,25,25,32
23,17,24,28,21,19,18,22,24,32,21,24,22,19,19,22,27,27,24,21,14,18,34,21,22,15,24,23,30,29,20,26,14,25,19,17,27,21,20,22,23,32,20,28,16,27,0,20,19,29,20,23,31,23,21,22,22,21,29,24
35,27,21,23,22,20,12,30,19,19,29,21,13,20,21,19,33,19,21,26,23,20,21,17,22,19,24,29,25,21,15,31,32,21,23,26,24,29,20,18,24,27,21,24,19,23,20,0,23,19,21,24,21,18,18,12,20,18,19,19
29,30,22,26,20,24,17,27,26,31,21,19,22,19,23,23,29,26,26,26,20,21,30,27,26,30,29,22,26,21,27,30,28,26,27,23,24,29,28,23,31,34,23,23,21,26,19,23,0,21,21,21,27,21,22,20,22,20,19,13
26,32,18,18,16,29,27,21,20,27,21,23,27,24,18,24,28,23,25,20,22,21,17,29,22,16,27,26,27,24,22,27,21,24,25,18,27,33,21,24,19,22,23,25,19,25,29,19,21,0,16,24,28,25,22,22,22,22,29,23
30,31,24,28,28,25,26,26,24,22,25,16,31,24,21,19,25,22,21,21,22,19,33,27,26,25,26,32,22,20,30,24,26,29,22,26,29,24,23,27,19,26,20,27,20,25,20,21,21,16,0,32,22,19,9,30,19,23,28,22
24,26,22,36,26,22,20,26,21,25,22,28,22,24,19,24,33,17,27,28,22,19,29,25,22,22,31,21,23,32,18,19,26,20,23,29,17,23,26,30,21,22,27,21,20,19,23,24,21,24,32,0,23,20,25,23,27,27,19,23
21,25,27,31,26,31,28,33,27,34,29,23,33,21,22,27,32,24,23,32,20,26,39,25,27,23,30,26,20,23,25,25,26,30,23,38,27,39,19,16,37,19,31,26,32,35,31,21,27,28,22,23,0,26,33,28,19,27,27,27
24,24,23,29,27,14,24,21,33,33,25,28,31,21,18,24,21,21,21,25,27,21,25,18,19,33,17,24,25,25,24,25,19,29,19,25,31,23,21,23,28,29,33,33,24,36,23,18,21,25,19,20,26,0,21,23,22,27,24,23
19,17,12,16,16,17,25,17,22,21,18,16,16,21,18,23,21,17,23,17,10,16,22,18,17,16,22,26,18,20,17,21,28,22,20,28,18,23,17,24,23,20,28,31,21,26,21,18,22,22,9,25,33,21,0,20,16,26,18,20
29,26,27,32,26,29,25,29,22,34,30,26,24,24,13,22,23,32,24,19,24,20,26,28,21,14,28,24,22,23,23,22,25,26,24,22,30,26,25,20,25,23,32,30,33,29,22,12,20,22,30,23,28,23,20,0,24,27,25,18
16,23,22,16,25,21,23,16,24,29,29,21,24,12,26,32,20,22,20,21,23,19,25,29,29,16,28,23,24,24,27,24,23,28,26,13,22,21,26,19,20,17,32,27,25,20,22,20,22,22,19,27,19,22,16,24,0,34,32,19
23,23,27,22,27,21,22,22,22,26,22,15,26,22,17,26,18,26,25,28,11,21,27,19,20,18,24,25,19,20,23,21,21,19,19,21,30,17,24,31,38,24,22,20,22,25,21,18,20,22,23,27,27,27,26,27,34,0,25,22
23,24,13,28,28,23,22,25,15,26,22,18,23,21,24,23,21,23,16,21,23,24,28,18,16,12,34,22,30,28,16,22,25,21,26,27,24,24,19,22,26,32,24,19,26,25,29,19,19,29,28,19,27,24,18,25,32,25,0,24
15,22,24,25,22,22,22,23,25,26,20,31,23,25,16,24,20,25,24,28,17,22,24,29,23,17,20,21,24,25,16,24,27,25,19,28,29,24,28,22,20,17,20,32,21,32,24,19,13,23,22,23,27,23,20,18,19,22,24,0
