dado1,dado2,dado3,dado4,dado5,dado6,dado7,dado8,dado9,dado10,dado11,dado12,dado13,dado14,dado15,dado16,dado17,dado18,dado19,dado20,dado21,dado22,dado23,dado24,dado25,dado26,dado27,dado28,dado29,dado30,dado31,dado32,dado33,dado34,dado35,dado36,dado37,dado38,dado39,dado40,dado41,dado42,dado43,dado44,dado45,dado46,dado47,dado48,dado49,dado50,dado51,dado52,dado53,dado54,dado55,dado56,dado57,dado58,dado59,dado60
33,45,23,36,37,30,30,26,31,44,25,37,30,30,30,23,30,21,30,26,30,31,37,31,27,18,27,36,42,33,20,31,27,36,19,34,25,22,33,32,30,31,25,33,29,36,21,21,27,34,26,37,32,35,18,37,25,26,25,32
17,26,26,34,24,36,21,24,25,35,28,19,24,27,19,29,29,32,25,39,23,23,37,28,27,33,29,37,36,29,28,32,25,35,29,29,36,32,34,22,29,29,31,26,25,23,21,29,25,27,45,23,29,30,22,32,21,28,27,33
27,35,29,32,31,30,26,29,19,42,29,26,33,29,32,32,31,35,24,26,22,22,36,30,33,33,33,31,26,31,34,39,27,28,36,28,31,35,29,32,38,33,33,31,29,29,27,22,34,36,31,25,29,25,22,38,28,30,28,31
30,27,28,23,28,30,21,26,27,25,34,27,34,29,16,40,35,38,35,35,33,29,30,26,29,30,33,28,35,35,24,32,31,42,26,36,34,32,24,23,29,29,27,37,26,39,37,18,33,17,25,24,30,33,25,29,35,27,29,33
23,32,22,29,22,26,22,37,27,30,30,27,25,22,17,24,26,32,29,21,21,25,29,25,19,24,29,27,36,29,25,37,35,20,23,28,27,26,20,36,26,27,28,32,30,32,22,30,26,24,26,25,36,24,26,30,16,29,26,23
19,24,25,29,31,29,20,27,26,28,25,16,26,29,19,25,28,19,34,22,26,18,30,25,29,28,28,23,24,24,30,24,26,29,19,34,28,29,25,19,33,28,23,22,27,27,16,22,30,25,22,33,35,28,28,32,29,32,29,32
35,17,29,36,41,29,25,29,33,31,32,29,29,34,27,30,24,28,23,23,22,21,33,30,31,21,30,30,37,30,27,33,39,34,26,33,25,35,20,26,39,40,28,41,41,38,29,28,34,20,27,31,31,30,34,25,23,21,21,22
34,24,28,43,38,40,28,25,28,35,38,32,29,38,32,36,36,33,35,32,23,25,24,35,20,20,30,28,32,29,31,33,28,24,29,34,33,37,21,31,30,29,35,31,31,33,21,25,27,31,34,33,34,23,21,29,28,29,19,20
29,28,22,34,35,27,31,23,30,36,28,33,36,28,20,28,36,21,30,21,26,29,31,28,22,22,28,38,27,32,27,32,30,30,30,31,34,35,28,22,33,32,40,32,26,24,25,30,26,26,38,34,50,37,27,20,20,35,28,29
32,24,34,32,31,36,19,34,22,37,28,20,27,27,22,40,37,29,29,27,20,27,23,34,36,22,36,33,23,30,24,34,38,37,30,27,35,26,36,17,30,22,36,27,39,27,30,26,28,36,34,32,36,32,28,34,28,26,36,26
